credit_card_name,card_type
standard-chartered-unlimited-cashback-credit-card,Cashback
dbs-altitude-visa-signature-card,Air Miles
uob-one-card,Cashback
posb-everyday-cashback,Cashback
dbs-womans-world-card,Air Miles
citi-rewards-credit-card,Air Miles
amex-true-cashback-card,Cashback
ocbc-ntuc-plus-visa-credit-card,Cashback
dbs-live-fresh-cashback,Cashback
uob-preferred-platinum-visa-card,Air Miles
cimb-platinum-mastercard-cashback,Cashback
ocbc-365-credit-card,Cashback
citi-smrt-card,Cashback
standard-chartered-spree-credit-card,Cashback
citi-premiermiles-visa-card,Air Miles
amex-singapore-airlines-krisflyer-credit-card,Air Miles
dbs-safra-card,Cashback
uob-absolute-cashback-card,Cashback
ocbc-cashflo-credit-card,Cashback
maybank-evibes-card,Cashback
cimb-visa-signature,Cashback
hsbc-advance-credit-card,Cashback
maybank-family-friends-card,Cashback
cimb-awsm-card,Cashback
ocbc-plus-visa-card,Cashback
uob-prvi-miles-visa-card,Air Miles
cimb-world-mastercard,Cashback
amex-platinum-card,Air Miles
ocbc-90-degrees-n-mastercard,Air Miles
amex-singapore-airlines-krisflyer-ascend-credit-card,Air Miles
ocbc-titanium-rewards-card,Air Miles
hsbc-revolution-credit-card,Air Miles
ocbc-frank-credit-card,Cashback
citi-cash-back-plus-card,Cashback
dbs-womans-card,Air Miles
uob-evol-card,Cashback
standard-chartered-manhattan-platinum-world-mastercard,Cashback
ocbc-great-eastern-cashflo-credit-card,Cashback
citi-cash-back-card,Cashback
dbs-black-visa-card,Air Miles
amex-platinum-credit-card,Air Miles
uob-lady-s-card,Air Miles
standard-chartered-platinum-visa-card,Cashback
dbs-live-fresh-visa-student-card,Cashback
boc-family-card,Cashback
dbs-esso-card,Air Miles
amex-capitacard,Air Miles
icbc-chinese-zodiac-credit-card,Cashback
ocbc-voyage-card,Air Miles
ocbc-robinsons-group-credit-card,Cashback
amex-gold-card,Air Miles
cimb-visa-infinite,Cashback
standard-chartered-visa-infinite-x-credit-card,Air Miles
hsbc-visa-platinum-credit-card,Cashback
uob-krisflyer-credit-card,Cashback
citi-prestige-card,Air Miles
maybank-horizon-visa-signature-card,Air Miles
boc-elite-miles-world-mastercard,Air Miles
dbs-takashimaya-visa-card,Air Miles
standard-chartered-manhattan-500-card,Cashback
citi-clear-card,Air Miles
amex-singapore-airlines-solitaire-pps-credit-card,Air Miles
hsbc-premier-mastercard,Cashback
maybank-platinum-visa-card,Cashback
standard-chartered-rewards-plus-credit-card,Cashback
boc-sheng-siong-card,Cashback
hsbc-visa-infinite-miles,Air Miles
uob-delight-credit-card,Cashback
ocbc-best-denki-credit-card,Air Miles
citi-lazada-card,Air Miles
dbs-takashimaya-american-express-card,Air Miles
standard-chartered-visa-infinite-credit-card,Air Miles
uob-prvi-miles-mastercard,Air Miles
dbs-altitude-american-express-card,Air Miles
uob-unionpay-card,Cashback
icbc-unionpay-dual-currency-credit-card,Cashback
dbs-black-american-express-card,Air Miles
ocbc-platinum-credit-card,Air Miles
uob-visa-signature-card,Air Miles
amex-personal-card,Air Miles
amex-platinum-reserve-credit-card,Air Miles
amex-rewards-card,Air Miles
amex-singapore-airlines-pps-club-credit-card,Air Miles
boc-f1rst-card,Cashback
bank-of-china-qoo10-platinum-mastercard,Cashback
bank-of-china-qoo10-world-mastercard,Cashback
boc-travel-card,Air Miles
boc-visa-infinite-card,Cashback
boc-zaobao-credit-card,Cashback
citi-m1-card,Cashback
citi-premiermiles-american-express-card,Air Miles
citi-premiermiles-mastercard,Cashback
dbs-nus-alumni-card,Air Miles
dbs-nuss-card,Air Miles
dbs-vantage-card,Cashback
icbc-global-travel-mastercard-credit-card,Cashback
icbc-horoscope-credit-card,Cashback
icbc-koipy-gold-dual-currency-credit-card,Cashback
icbc-koipy-platinum-dual-currency-credit-card,Cashback
icbc-visa-dual-currency-credit-card,Cashback
maybank-duo-platinum-mastercard,Cashback
maybank-fc-barcelona-visa-signature-card,Cashback
maybank-manchester-united-platinum-visa-card,Cashback
maybank-visa-infinite-card,Air Miles
maybank-world-mastercard,Air Miles
ocbc-90-n-visa-card,Cashback
ocbc-arts-credit-card,Air Miles
standard-chartered-business-platinum-card,Air Miles
standard-chartered-nus-alumni-platinum-card,Air Miles
standard-chartered-platinum-mastercard,Cashback
standard-chartered-priority-visa-infinite-credit-card,Air Miles
standard-chartered-prudential-platinum-card,Air Miles
uob-jcb-card,Cashback
uob-metro-card,Air Miles
uob-professionals-platinum-card,Cashback
uob-prvi-miles-amex-card,Cashback
uob-singtel-card,Cashback
