,no_of_reviews,net_promoter_score
standard-chartered-unlimited-cashback-credit-card,121,20.0
uob-one-card,113,0.0
posb-everyday-cashback,146,8.0
amex-true-cashback-card,48,17.0
ocbc-ntuc-plus-visa-credit-card,19,10.0
dbs-live-fresh-cashback,71,-31.0
cimb-platinum-mastercard-cashback,20,5.0
ocbc-365-credit-card,101,-29.0
citi-smrt-card,36,-14.0
standard-chartered-spree-credit-card,13,8.0
dbs-safra-card,4,0.0
uob-absolute-cashback-card,1,100.0
ocbc-cashflo-credit-card,10,10.0
maybank-evibes-card,1,100.0
cimb-visa-signature,27,-44.0
hsbc-advance-credit-card,13,7.0
maybank-family-friends-card,1,0.0
cimb-awsm-card,4,50.0
ocbc-plus-visa-card,9,22.0
cimb-world-mastercard,1,100.0
ocbc-frank-credit-card,17,-53.0
citi-cash-back-plus-card,6,-50.0
uob-evol-card,1,100.0
standard-chartered-manhattan-platinum-world-mastercard,1,0.0
ocbc-great-eastern-cashflo-credit-card,4,-25.0
citi-cash-back-card,13,-39.0
standard-chartered-platinum-visa-card,1,0.0
dbs-live-fresh-visa-student-card,2,0.0
boc-family-card,2,0.0
icbc-chinese-zodiac-credit-card,1,0.0
ocbc-robinsons-group-credit-card,1,0.0
cimb-visa-infinite,1,0.0
hsbc-visa-platinum-credit-card,1,0.0
uob-krisflyer-credit-card,1,0.0
standard-chartered-manhattan-500-card,1,0.0
hsbc-premier-mastercard,1,0.0
maybank-platinum-visa-card,1,0.0
standard-chartered-rewards-plus-credit-card,1,0.0
boc-sheng-siong-card,1,0.0
uob-delight-credit-card,1,0.0
uob-unionpay-card,1,0.0
icbc-unionpay-dual-currency-credit-card,1,0.0
boc-f1rst-card,1,0.0
bank-of-china-qoo10-platinum-mastercard,1,0.0
bank-of-china-qoo10-world-mastercard,1,0.0
boc-visa-infinite-card,1,0.0
boc-zaobao-credit-card,1,0.0
citi-m1-card,1,0.0
citi-premiermiles-mastercard,1,0.0
dbs-vantage-card,1,0.0
icbc-global-travel-mastercard-credit-card,1,0.0
icbc-horoscope-credit-card,1,0.0
icbc-koipy-gold-dual-currency-credit-card,1,0.0
icbc-koipy-platinum-dual-currency-credit-card,1,0.0
icbc-visa-dual-currency-credit-card,1,0.0
maybank-duo-platinum-mastercard,1,0.0
maybank-fc-barcelona-visa-signature-card,1,0.0
maybank-manchester-united-platinum-visa-card,1,0.0
ocbc-90-n-visa-card,1,0.0
standard-chartered-platinum-mastercard,1,0.0
uob-jcb-card,1,0.0
uob-professionals-platinum-card,1,0.0
uob-prvi-miles-amex-card,1,0.0
uob-singtel-card,1,0.0
