,credit_card_name,card_type,reviews,sentiment
0,standard-chartered-unlimited-cashback-credit-card,Cashback,['My first credit card. One of the best cards for cash back which is unlimited and also can use as mrt card as well which is pretty convenient,5
1,standard-chartered-unlimited-cashback-credit-card,Cashback," 'A 1.5% no frill cashback cards. What i like about this is that there seems to be less exclusion as compared to other credit cards. For example, medical bills.   Fee waiver was fast and automated. Useful for card holders who have issues meeting minimum spending",4
2,standard-chartered-unlimited-cashback-credit-card,Cashback," '[Fee Waivers] 0 customer service. they will not waive off late payment fees for you. i think the most you can get is nothing. dont even try to use this card, or this bank.",1
3,standard-chartered-unlimited-cashback-credit-card,Cashback," ""Fast application and ease of usage. Look out for promotions with free gifts! Caveat you need to be a new member i.e. do not hold that bank's credit card for the past 1 year."", '[Cashback Card] Ideal for both high and low spenders. Fuss-free 1.5% with no monthly cashback cap. However, there are better choice out there.  [Promotions and Perks] Plentiful promotions with regards to SCB CC as always.",4
4,standard-chartered-unlimited-cashback-credit-card,Cashback, 'Super useful cashback card for basically anything and everything spending. Must have for everyone in general,5
5,standard-chartered-unlimited-cashback-credit-card,Cashback, 'A very useful cashback card that you could use for all the purchases. The approval status is fast as well.,5
6,standard-chartered-unlimited-cashback-credit-card,Cashback," 'Used this card for awhile due to the unlimited cashback offer, but constantly ran into issues with the overall bill amount due vs what was being shown on the statement.  Ended up being charged late charges a few times as a result, and had to constantly get in touch with their customer service to try and resolve this, while each customer service officer had different answers regarding the situation which was confusing.",2
7,standard-chartered-unlimited-cashback-credit-card,Cashback," 'Fuss-free sign up. A good card for those who find it difficult or a chore to meet spending limits to earn rewards such as cashback.  The cashback is also automatically deducted from your subsequent bill which you can track on the SC app, though the app is slightly dated and not the best UI.  Overall a good credit card to start out with.",4
8,standard-chartered-unlimited-cashback-credit-card,Cashback, 'First unlimited cash back card I got. Competitive rate at 1.5%. Do make greater use of the The Good Life privileges!,5
9,standard-chartered-unlimited-cashback-credit-card,Cashback," 'No problems. Ease of payment, i usually pay via SCB app from my savings account. If using external account (non-scb) the payment will be reflected quite slowly.",4
10,standard-chartered-unlimited-cashback-credit-card,Cashback," 'not the best customer support but high cash back! if the customer support improves, it will be 5 stars",4
11,standard-chartered-unlimited-cashback-credit-card,Cashback, 'Great card to have as your first card as the cashback is unlimited. I think the approval process is kinda slow,4
12,standard-chartered-unlimited-cashback-credit-card,Cashback, 'Fuss free signup but the customer support was bad when I had a few repeated transactions. Had to cancel my card eventually,2
13,standard-chartered-unlimited-cashback-credit-card,Cashback, 'Have used this card for at least 3-4 years and never had much of an issue with waiver or charges. Very much one of the more consistent and easy to use cashback cards,5
14,standard-chartered-unlimited-cashback-credit-card,Cashback," 'Fuss free signed up, the customer service is very helpful as well. Cashback is deducted from the next bill directly",5
15,standard-chartered-unlimited-cashback-credit-card,Cashback, 'Easy and fuss free sign up process.  Cashback is auto deducted from your bill at the end of the month.,5
16,standard-chartered-unlimited-cashback-credit-card,Cashback," 'The cash back is prompt and the standard charter app is easy to use. However, not many perks on e commerce platforms etc.",3
17,standard-chartered-unlimited-cashback-credit-card,Cashback, 'Have been using this card for around 1 year. It’s okay for random purchases without having to remember the type of eligible spending that qualify for cashback.,3
18,standard-chartered-unlimited-cashback-credit-card,Cashback," 'I have been using this for 5 years. It is the best and most simple cashback card,1.5% across all spend and no minimum spend threshold required",5
19,standard-chartered-unlimited-cashback-credit-card,Cashback, 'A fuss free credit card where they will rebates the cashbate at the end of the billing cycle. 2 Years of fee waiver is a bonus as well!,4
20,standard-chartered-unlimited-cashback-credit-card,Cashback," 'What I love most about this card, is that there’s no minimum spend required while you still get to enjoy 1.5% cashback. Have been using it for almost 3years & ongoing.",5
21,standard-chartered-unlimited-cashback-credit-card,Cashback, 'Swift approval of application. 1.5% cashback for all transactions including dining shopping etc. Recommended for all.,5
22,standard-chartered-unlimited-cashback-credit-card,Cashback, 'Have been using this card for around 2 years. It’s good for random purchases without having to remember the type of eligible spends that qualify for cashback.,4
23,standard-chartered-unlimited-cashback-credit-card,Cashback," ""So according to their new so called rules, fee waivers are no longer granted without showing some sort of proof or reasoning why it should be granted. Call back staff are extremely rude as they are working from home and just want to clear their quota for the day.   So 1.5% cashback for the year and then being charged over $150+ in fees doesn't make it very worth it. Dropping this card and going for another."", ""Tried to apply for the card with the new airpod promotion. They asked to send over their documents (standard procedure) and I gladly sent over. Little did I know they kept rejecting my IC copy because apparently, some parts were blur. Retook multiple times and sent over. Different CS officers kept calling me saying they didn't receive my new copy. So frustrated after 7 emails to 2 different CS, and many many calls. They should have a freaking simple upload function somewhere. The process is a nightmare."", ""So far so good, been using the card for a year. Simple and hassle free with unlimited 1.5%, there might be other cards from time to time that offer higher rates like citibank, 1.6% (cashback plus card) that I would recommend as I only knew about it later. But, if you have accounts tied to SC, 0.1% less doesn't matter too much."", 'simple to use card as no minimum for the 1.5% cashback. Have been using it for a while now, for general usage or when there is special discount offered by StanChart",1
24,standard-chartered-unlimited-cashback-credit-card,Cashback, 'Card is useful for general uses as it provides a 1.5% unlimited cashback. Sign up process is fast and simple,4
25,standard-chartered-unlimited-cashback-credit-card,Cashback, '[Cashback Card] Good card to kick start adulting. Will encourage people who have low budget to start off with this credit card,4
26,standard-chartered-unlimited-cashback-credit-card,Cashback, '[Cashback Card] [Bill Payment] The SC Unlimited Cashback Card is a card I used when the transactions do not earn good cashback rates from my other credit cards. I use it mainly for bill payments and government services.  Nothing fantastic. Just a card to earn some cashback.,3
27,standard-chartered-unlimited-cashback-credit-card,Cashback," 'I have a few credits card from the various banks but only Standard Chartered works the best! spending in the restaurant or online buy using SC unlimited CC, the transaction appears on the app transaction history most of the time within seconds!   As I am a weekly payment kind of guy and sometimes would crosscheck transactions made by restaurants/bar are correct to the amount. This really helps a lot!  (You know how you are tipsy & there is ""overcharging"" sometimes in a bar to take advantage of you? NO LONGER HAV",5
28,standard-chartered-unlimited-cashback-credit-card,Cashback," 'Pretty run-of-the-mill cashback card from Standard Chartered Bank. 1.5% cashback amount is tabulated and given upon the following month billing statement.  Virtually most of the transactions are eligible for cashback, with the exceptions list by the bank (that applies to other banks as well).  So far no issues with Customer Service, but the call-in period can be quite long, usually about 20 ~ 30 mins before the service call agent picks up the phone call.",4
29,standard-chartered-unlimited-cashback-credit-card,Cashback," 'Simple no frills cashback card. For the low cashback, minimal effort required. Can use with Shopee Tuesday 12am for further discount Definitely not my first choice of card to use due to the low cashback%. But if you are a low spender, I think it is a generally okay card. There are other better cards out there with better rewards so you may want to consider others first. But my experience with SC has been relatively good. The app works well and never really been ",4
30,standard-chartered-unlimited-cashback-credit-card,Cashback, '[Cashback Card] Bank would not grant a fee waiver. The standard of Customer service is lacking compared to other banks.,2
31,standard-chartered-unlimited-cashback-credit-card,Cashback," ""Had experimented with Multiplier account with local bank DBS + Everyday card and with the card policy to always hit $800/- per month was not possible and thus unable to get cash back as advertised. Finally so far VERY happy with SCB Unlimited Cashback Card as I started the journey from start of JAN 2020 and made a clear comparison of what I'm receiving as Cash Back all these months until DEC 2020. Now with a Year I think its clear winner for my eyes in Cash Back I received. Will look for year of fruitful spends in YEAR 2021 too and get gainful CashBack."", '[Promotions and Perks] I applied for it for the Apple AirPods promo with minimum spend of $80. A couple of days after I first used it and spent a few backs, suddenly I received an $80 cashback!!!  [Cashback Card] Since there is no cap, it is good to use for pretty much every spend that accepts credit card.",5
32,standard-chartered-unlimited-cashback-credit-card,Cashback," ""[Useful For...] If you don't want to track cashback. Good as a backup card for large spending / non-contact-less spending in most shops. Can tap for transport too.  [Others] With Citi Cashback+ around this card at 1.6% might only be worth it if you want the free gift / have the UnlimitedSaver account. I applied for this before Cashback+ existed so yea. Also, SC is quite aggressive with cold-calling to the extent I have to block their number just fyi~"", 'Fuss-free signup and cashback. However, I had to go to the Standard Chartered branch personally to set up the automatic payment of credit card bills because the bank did not have my signature (I signed up for everything online).",3
33,standard-chartered-unlimited-cashback-credit-card,Cashback," 'Very convenient card IMO if you do not want to keep track of spending req. This card gives you rebates for almost all spending, except maybe payment to govt agencies, insurance premium or prepaid wallet like Grabpay. Would love it even more if rebates was higher!",4
34,standard-chartered-unlimited-cashback-credit-card,Cashback," '[Useful For...] No frills cashback, simple and easy to use, especially with no minimum spending, which is good for low spend users!  However, if going for large purchases, definitely would recommend for credit cards which offer greater rewards!",4
35,standard-chartered-unlimited-cashback-credit-card,Cashback," '[Useful For...] Any amount of cashback! No longer need to hit minimum amount of spending, good for flexible spenders.   [Hidden Terms] No hidden terms.   ",4
36,standard-chartered-unlimited-cashback-credit-card,Cashback, 'Great card which I have been using for some time.  Good interest rate and no minimum spending. Lots of rewards.,5
37,standard-chartered-unlimited-cashback-credit-card,Cashback, 'Good card for all spending without worrying whether the spending will be counted by the bank. Recommended for general users.,4
38,standard-chartered-unlimited-cashback-credit-card,Cashback," ""It's a good card to have as a back up to all other cards, until other banks come up with 1.6% cash back.   Honestly I had a very good experience, and just cancelled it as i don't use the card anymore."", '[Cashback Card] The Card should be one of the card in your wallet. it has 1.5% rewards for every transaction. as I know the new card holder, at least can get $100++ worth item.",2
39,standard-chartered-unlimited-cashback-credit-card,Cashback," ""Good card and gives cash rebates rather than miles. Albeit lower on the cashback %. Good thing there's no cap.  [Promotions and Perks]"", 'Fuss free to use it as my EZ-Link card and all my other purchases :) it helps that Stanchart does hv certain promotions which they SMS you to alert you about it!",4
40,standard-chartered-unlimited-cashback-credit-card,Cashback, 'One of the best cards in town with end-to-end wins from call center service to automated call navigation. Kudos to SCB!,5
41,standard-chartered-unlimited-cashback-credit-card,Cashback," ""[Cashback Card] So far so good. I've got more cashback than using OCBC 365 card unfortunately. I've been using this for a month as my daily card transaction so I want to see how much cashback I can get back. Definitely not as good as the AMEX truecash back which is 3% but amex is not accepted everywhere so this is still one of the best.    "", 'no frills true cash back card . A very good card for all other spendings . Good for online purchases too",4
42,standard-chartered-unlimited-cashback-credit-card,Cashback," '1.5% cashback without any minimum spending.  Grab Top-up no longer valid for the cashback...getting more and more exclusions...  For cashback currently, there are more cards out there that can fulfill give more rewards.",2
43,standard-chartered-unlimited-cashback-credit-card,Cashback," '[Cashback Card] First card with SCB, 1.5% cashback without any minimum spending is a plus plus plus point.   Reason that I applied this card was the free gift from other platform. With the new market changes ie: some back cut their deposit account interest for credit card spending, this card is going to be my main card for the next few months.",4
44,standard-chartered-unlimited-cashback-credit-card,Cashback, 'It’s a very convenience card and it’s really cashback on everything with a good rate. Customer service was fast and good as well!,5
45,standard-chartered-unlimited-cashback-credit-card,Cashback, '[Promotions and Perks] Good card to carry with you when you earn good % rebates regardless of any amount of spending. Good to have it.,4
46,standard-chartered-unlimited-cashback-credit-card,Cashback," 'My favourite credit card. Why? No minimum spending, 1.5% cashback on anything and everything + I can use this for Mastercard Account-Based Ticketing (ABT) - public transport fares also can get the cashback!",5
47,standard-chartered-unlimited-cashback-credit-card,Cashback," 'I had high hopes for the Unlimited card as I had heard much about it prior to applying for it. Upon receiving it and beginning to use the SCB phone app for credit card account information such as latest balance, bill statement and payment details, I felt very frustrated with the app and it was not user-friendly and intuitive. As a result of its weaknesses and the constraints it had, I had no choice but to call SCB hotline for certain needs. When I did, I was met with lacklustre response from the call centre staff who did not seem to have much decision-making power, lacked empathy and basically left me feeling rather ""meh"". I stuck with it for some mon",2
48,standard-chartered-unlimited-cashback-credit-card,Cashback," ""This card would be great for a minimalist like me, who seldom spend, as there's no minimum spend to hit.   I use this card to pay for electricity and telco bills, which are also eligible for cashback!"", '[Useful For...] Any purchase with a standard 1.5%, with no-nonsense monthly cash back, credited to your account, unlike most of the other cards where it is a hassle to achieve or use the credits.",4
49,standard-chartered-unlimited-cashback-credit-card,Cashback," 'My resentment with Standard Chartered started in Feb 2019 when I signed up for the SCB unlimited cashback via a promotion.  I used to have a savings account with SCB years ago, and a Manhattan card that I signed up for in 2011 (all applied without any benefits). This credit card was never the one that I would reach out to use, and ever since I closed my savings account in 2013, it was my understanding that I had closed all my SCB accounts.  ",1
50,standard-chartered-unlimited-cashback-credit-card,Cashback, '[Promotions and Perks] Attractive welcome gifts for new customer with cash rebate up to 100 dollars [Fee Waivers] Able to waive annual fee easily,5
51,standard-chartered-unlimited-cashback-credit-card,Cashback," ""Great card for Rebate if you are making a lot of big-ticket item purchases as there is no cap. Customer service is helpful, responsive and fast. The only issue is that recently they decided to go paperless and didn't send me my bills. Chalked up some late fees but I called them and tell them and got it all settled. All the late fee reversed and told me they will send me the printed bill."", 'I got 1.5% rebates and no minimum spending. Highly recommended for new users. Customer Service Staff was very friendly in getting back to my enquires.",4
