,credit_card_name,card_type,reviews,reviews_clean,reviews_tokenized,reviews_no_stop,reviews_lemmatized,reviews_string
121,dbs-altitude-visa-signature-card,Air Miles,"['Used to be my go-to general miles card but now have changed to a Citibank card for slightly higher mpd. Comes with 2 free visits annually to Priority Pass lounges, still a worthwhile card to hold if you can spend enough for DBS to waive the annual fee",Used to be my goto general miles card but now have changed to a Citibank card for slightly higher mpd Comes with 2 free visits annually to Priority Pass lounges still a worthwhile card to hold if you can spend enough for DBS to waive the annual fee,"['used', 'to', 'be', 'my', 'goto', 'general', 'miles', 'card', 'but', 'now', 'have', 'changed', 'to', 'a', 'citibank', 'card', 'for', 'slightly', 'higher', 'mpd', 'comes', 'with', '2', 'free', 'visits', 'annually', 'to', 'priority', 'pass', 'lounges', 'still', 'a', 'worthwhile', 'card', 'to', 'hold', 'if', 'you', 'can', 'spend', 'enough', 'for', 'dbs', 'to', 'waive', 'the', 'annual', 'fee']","['used', 'goto', 'general', 'miles', 'changed', 'citibank', 'slightly', 'higher', 'mpd', 'comes', 'free', 'visits', 'annually', 'priority', 'pass', 'lounges', 'still', 'worthwhile', 'hold', 'spend', 'enough', 'dbs', 'waive', 'annual', 'fee']","['used', 'goto', 'general', 'mile', 'changed', 'citibank', 'slightly', 'higher', 'mpd', 'come', 'free', 'visit', 'annually', 'priority', 'pas', 'lounge', 'still', 'worthwhile', 'hold', 'spend', 'enough', 'dbs', 'waive', 'annual', 'fee']",used goto general mile changed citibank slightly higher mpd come free visit annually priority pas lounge still worthwhile hold spend enough dbs waive annual fee
122,dbs-altitude-visa-signature-card,Air Miles," 'Great ""catch all"" miles card - use other 4MPD cards for dining, online expenditure etc specific category spending to maximize the rewards on your spending. DBS points might come a little slowly, but no worries since they don\'t expire.", Great catch all miles card  use other 4MPD cards for dining online expenditure etc specific category spending to maximize the rewards on your spending DBS points might come a little slowly but no worries since they dont expire,"['', 'great', 'catch', 'all', 'miles', 'card', 'use', 'other', '4mpd', 'cards', 'for', 'dining', 'online', 'expenditure', 'etc', 'specific', 'category', 'spending', 'to', 'maximize', 'the', 'rewards', 'on', 'your', 'spending', 'dbs', 'points', 'might', 'come', 'a', 'little', 'slowly', 'but', 'no', 'worries', 'since', 'they', 'dont', 'expire']","['great', 'catch', 'miles', '4mpd', 'cards', 'dining', 'online', 'expenditure', 'etc', 'specific', 'category', 'spending', 'maximize', 'rewards', 'spending', 'dbs', 'points', 'might', 'come', 'little', 'slowly', 'worries', 'since', 'dont', 'expire']","['great', 'catch', 'mile', '4mpd', 'card', 'dining', 'online', 'expenditure', 'etc', 'specific', 'category', 'spend', 'maximize', 'reward', 'spend', 'dbs', 'point', 'might', 'come', 'little', 'slowly', 'worry', 'since', 'dont', 'expire']",great catch mile 4mpd card dining online expenditure etc specific category spend maximize reward spend dbs point might come little slowly worry since dont expire
123,dbs-altitude-visa-signature-card,Air Miles," 'Love this card with no expiry date of the DBS points earned, and easy to convert the purchase to installment plan.", Love this card with no expiry date of the DBS points earned and easy to convert the purchase to installment plan,"['', 'love', 'this', 'card', 'with', 'no', 'expiry', 'date', 'of', 'the', 'dbs', 'points', 'earned', 'and', 'easy', 'to', 'convert', 'the', 'purchase', 'to', 'installment', 'plan']","['love', 'expiry', 'date', 'dbs', 'points', 'earned', 'easy', 'convert', 'purchase', 'installment', 'plan']","['love', 'expiry', 'date', 'dbs', 'point', 'earned', 'easy', 'convert', 'purchase', 'installment', 'plan']",love expiry date dbs point earned easy convert purchase installment plan
124,dbs-altitude-visa-signature-card,Air Miles," '[Others] This card is one of the best entry-level miles credit cards in Singapore with a flat air miles earn rate and benefits such as travel insurance, priority pass airport lounge access, annual fee waiver, and travel promotions. It allows me to earn points which can be converted into KrisFlyer miles.", Others This card is one of the best entrylevel miles credit cards in Singapore with a flat air miles earn rate and benefits such as travel insurance priority pass airport lounge access annual fee waiver and travel promotions It allows me to earn points which can be converted into KrisFlyer miles,"['', 'others', 'this', 'card', 'is', 'one', 'of', 'the', 'best', 'entrylevel', 'miles', 'credit', 'cards', 'in', 'singapore', 'with', 'a', 'flat', 'air', 'miles', 'earn', 'rate', 'and', 'benefits', 'such', 'as', 'travel', 'insurance', 'priority', 'pass', 'airport', 'lounge', 'access', 'annual', 'fee', 'waiver', 'and', 'travel', 'promotions', 'it', 'allows', 'me', 'to', 'earn', 'points', 'which', 'can', 'be', 'converted', 'into', 'krisflyer', 'miles']","['others', 'best', 'entrylevel', 'miles', 'cards', 'singapore', 'flat', 'air', 'miles', 'earn', 'rate', 'benefits', 'travel', 'insurance', 'priority', 'pass', 'airport', 'lounge', 'access', 'annual', 'fee', 'waiver', 'travel', 'promotions', 'allows', 'earn', 'points', 'converted', 'krisflyer', 'miles']","['others', 'best', 'entrylevel', 'mile', 'card', 'singapore', 'flat', 'air', 'mile', 'earn', 'rate', 'benefit', 'travel', 'insurance', 'priority', 'pas', 'airport', 'lounge', 'access', 'annual', 'fee', 'waiver', 'travel', 'promotion', 'allows', 'earn', 'point', 'converted', 'krisflyer', 'mile']",others best entrylevel mile card singapore flat air mile earn rate benefit travel insurance priority pas airport lounge access annual fee waiver travel promotion allows earn point converted krisflyer mile
125,dbs-altitude-visa-signature-card,Air Miles," 'I am an advocate of DBS. Their customer service is top notch and it is so easy to get a fee waiver by simply clicking a couple of buttons on the app, unlike other credit cards where you have to call in to appeal.", I am an advocate of DBS Their customer service is top notch and it is so easy to get a fee waiver by simply clicking a couple of buttons on the app unlike other credit cards where you have to call in to appeal,"['', 'i', 'am', 'an', 'advocate', 'of', 'dbs', 'their', 'customer', 'service', 'is', 'top', 'notch', 'and', 'it', 'is', 'so', 'easy', 'to', 'get', 'a', 'fee', 'waiver', 'by', 'simply', 'clicking', 'a', 'couple', 'of', 'buttons', 'on', 'the', 'app', 'unlike', 'other', 'credit', 'cards', 'where', 'you', 'have', 'to', 'call', 'in', 'to', 'appeal']","['advocate', 'dbs', 'customer', 'service', 'top', 'notch', 'easy', 'fee', 'waiver', 'simply', 'clicking', 'couple', 'buttons', 'app', 'unlike', 'cards', 'call', 'appeal']","['advocate', 'dbs', 'customer', 'service', 'top', 'notch', 'easy', 'fee', 'waiver', 'simply', 'clicking', 'couple', 'button', 'app', 'unlike', 'card', 'call', 'appeal']",advocate dbs customer service top notch easy fee waiver simply clicking couple button app unlike card call appeal
126,dbs-altitude-visa-signature-card,Air Miles," ""[Fee Waivers] The fee waiver experience with DBS with the app these days is really one of the best. It's so simple and easy and just a few clicks. I have been a cardholder for years and have never once not been granted a fee waiver.  [Miles Card] Honestly, prior to COVID, I did use this card a lot because I loved how the miles never expires "", ""Fast application and ease of usage. My default card for transport and parking. Look out for promotions with free gifts! Caveat you need to be a new member i.e. do not hold that bank's credit card for the past 1 year."", 'Miles don’t expire so you can take your time earning them. Miles-per-dollar ratio is good for booking flights and hotels online (or staycations, at this time). Also comes with complimentary Priority Pass membership with 2x lounge access per year.   I keep this card primarily for flight and accommodation bookings and overseas purchases due to high mpd ratio for those transactions. Due to the current situation I haven’t been using this card for my primary purchases. But it is still an excellent entry-level miles card for young profe", Fee Waivers The fee waiver experience with DBS with the app these days is really one of the best Its so simple and easy and just a few clicks I have been a cardholder for years and have never once not been granted a fee waiver  Miles Card Honestly prior to COVID I did use this card a lot because I loved how the miles never expires  Fast application and ease of usage My default card for transport and parking Look out for promotions with free gifts Caveat you need to be a new member ie do not hold that banks credit card for the past 1 year Miles don’t expire so you can take your time earning them Milesperdollar ratio is good for booking flights and hotels online or staycations at this time Also comes with complimentary Priority Pass membership with 2x lounge access per year   I keep this card primarily for flight and accommodation bookings and overseas purchases due to high mpd ratio for those transactions Due to the current situation I haven’t been using this card for my primary purchases But it is still an excellent entrylevel miles card for young profe,"['', 'fee', 'waivers', 'the', 'fee', 'waiver', 'experience', 'with', 'dbs', 'with', 'the', 'app', 'these', 'days', 'is', 'really', 'one', 'of', 'the', 'best', 'its', 'so', 'simple', 'and', 'easy', 'and', 'just', 'a', 'few', 'clicks', 'i', 'have', 'been', 'a', 'cardholder', 'for', 'years', 'and', 'have', 'never', 'once', 'not', 'been', 'granted', 'a', 'fee', 'waiver', 'miles', 'card', 'honestly', 'prior', 'to', 'covid', 'i', 'did', 'use', 'this', 'card', 'a', 'lot', 'because', 'i', 'loved', 'how', 'the', 'miles', 'never', 'expires', 'fast', 'application', 'and', 'ease', 'of', 'usage', 'my', 'default', 'card', 'for', 'transport', 'and', 'parking', 'look', 'out', 'for', 'promotions', 'with', 'free', 'gifts', 'caveat', 'you', 'need', 'to', 'be', 'a', 'new', 'member', 'ie', 'do', 'not', 'hold', 'that', 'banks', 'credit', 'card', 'for', 'the', 'past', '1', 'year', 'miles', 'don', 't', 'expire', 'so', 'you', 'can', 'take', 'your', 'time', 'earning', 'them', 'milesperdollar', 'ratio', 'is', 'good', 'for', 'booking', 'flights', 'and', 'hotels', 'online', 'or', 'staycations', 'at', 'this', 'time', 'also', 'comes', 'with', 'complimentary', 'priority', 'pass', 'membership', 'with', '2x', 'lounge', 'access', 'per', 'year', 'i', 'keep', 'this', 'card', 'primarily', 'for', 'flight', 'and', 'accommodation', 'bookings', 'and', 'overseas', 'purchases', 'due', 'to', 'high', 'mpd', 'ratio', 'for', 'those', 'transactions', 'due', 'to', 'the', 'current', 'situation', 'i', 'haven', 't', 'been', 'using', 'this', 'card', 'for', 'my', 'primary', 'purchases', 'but', 'it', 'is', 'still', 'an', 'excellent', 'entrylevel', 'miles', 'card', 'for', 'young', 'profe']","['fee', 'waivers', 'fee', 'waiver', 'experience', 'dbs', 'app', 'days', 'really', 'best', 'simple', 'easy', 'clicks', 'cardholder', 'years', 'never', 'granted', 'fee', 'waiver', 'miles', 'honestly', 'prior', 'covid', 'lot', 'loved', 'miles', 'never', 'expires', 'fast', 'application', 'ease', 'usage', 'default', 'transport', 'parking', 'look', 'promotions', 'free', 'gifts', 'caveat', 'need', 'new', 'member', 'ie', 'hold', 'banks', 'past', 'year', 'miles', 'expire', 'take', 'time', 'earning', 'milesperdollar', 'ratio', 'good', 'booking', 'flights', 'hotels', 'online', 'staycations', 'time', 'also', 'comes', 'complimentary', 'priority', 'pass', 'membership', '2x', 'lounge', 'access', 'year', 'keep', 'primarily', 'flight', 'accommodation', 'bookings', 'overseas', 'purchases', 'due', 'high', 'mpd', 'ratio', 'transactions', 'due', 'current', 'situation', 'using', 'primary', 'purchases', 'still', 'excellent', 'entrylevel', 'miles', 'young', 'profe']","['fee', 'waiver', 'fee', 'waiver', 'experience', 'dbs', 'app', 'day', 'really', 'best', 'simple', 'easy', 'click', 'cardholder', 'year', 'never', 'granted', 'fee', 'waiver', 'mile', 'honestly', 'prior', 'covid', 'lot', 'loved', 'mile', 'never', 'expires', 'fast', 'application', 'ease', 'usage', 'default', 'transport', 'parking', 'look', 'promotion', 'free', 'gift', 'caveat', 'need', 'new', 'member', 'ie', 'hold', 'bank', 'past', 'year', 'mile', 'expire', 'take', 'time', 'earning', 'milesperdollar', 'ratio', 'good', 'booking', 'flight', 'hotel', 'online', 'staycations', 'time', 'also', 'come', 'complimentary', 'priority', 'pas', 'membership', '2x', 'lounge', 'access', 'year', 'keep', 'primarily', 'flight', 'accommodation', 'booking', 'overseas', 'purchase', 'due', 'high', 'mpd', 'ratio', 'transaction', 'due', 'current', 'situation', 'using', 'primary', 'purchase', 'still', 'excellent', 'entrylevel', 'mile', 'young', 'profe']",fee waiver fee waiver experience dbs app day really best simple easy click cardholder year never granted fee waiver mile honestly prior covid lot loved mile never expires fast application ease usage default transport parking look promotion free gift caveat need new member ie hold bank past year mile expire take time earning milesperdollar ratio good booking flight hotel online staycations time also come complimentary priority pas membership 2x lounge access year keep primarily flight accommodation booking overseas purchase due high mpd ratio transaction due current situation using primary purchase still excellent entrylevel mile young profe
127,dbs-altitude-visa-signature-card,Air Miles," ""One of the best entry level miles cards in the market! Very versatile usage, and best of all the DBS points you earn don't expire!"", 'one of the entry level miles credit card, and best thing is to have that priority pass membership that allows you to enter lounges around the world", One of the best entry level miles cards in the market Very versatile usage and best of all the DBS points you earn dont expire one of the entry level miles credit card and best thing is to have that priority pass membership that allows you to enter lounges around the world,"['', 'one', 'of', 'the', 'best', 'entry', 'level', 'miles', 'cards', 'in', 'the', 'market', 'very', 'versatile', 'usage', 'and', 'best', 'of', 'all', 'the', 'dbs', 'points', 'you', 'earn', 'dont', 'expire', 'one', 'of', 'the', 'entry', 'level', 'miles', 'credit', 'card', 'and', 'best', 'thing', 'is', 'to', 'have', 'that', 'priority', 'pass', 'membership', 'that', 'allows', 'you', 'to', 'enter', 'lounges', 'around', 'the', 'world']","['best', 'entry', 'level', 'miles', 'cards', 'market', 'versatile', 'usage', 'best', 'dbs', 'points', 'earn', 'dont', 'expire', 'entry', 'level', 'miles', 'best', 'thing', 'priority', 'pass', 'membership', 'allows', 'enter', 'lounges', 'around', 'world']","['best', 'entry', 'level', 'mile', 'card', 'market', 'versatile', 'usage', 'best', 'dbs', 'point', 'earn', 'dont', 'expire', 'entry', 'level', 'mile', 'best', 'thing', 'priority', 'pas', 'membership', 'allows', 'enter', 'lounge', 'around', 'world']",best entry level mile card market versatile usage best dbs point earn dont expire entry level mile best thing priority pas membership allows enter lounge around world
128,dbs-altitude-visa-signature-card,Air Miles," '[Miles Card] This is a good entry level miles card. The miles earn will not expire and hence, you can just keep accumulating for miles until you have sufficient miles to convert into a actual use.  [Promotions and Perks] 3 Miles per dollar spend for online shopping is quite a good deal as it cover local spending while we are all trap in our home. ", Miles Card This is a good entry level miles card The miles earn will not expire and hence you can just keep accumulating for miles until you have sufficient miles to convert into a actual use  Promotions and Perks 3 Miles per dollar spend for online shopping is quite a good deal as it cover local spending while we are all trap in our home ,"['', 'miles', 'card', 'this', 'is', 'a', 'good', 'entry', 'level', 'miles', 'card', 'the', 'miles', 'earn', 'will', 'not', 'expire', 'and', 'hence', 'you', 'can', 'just', 'keep', 'accumulating', 'for', 'miles', 'until', 'you', 'have', 'sufficient', 'miles', 'to', 'convert', 'into', 'a', 'actual', 'use', 'promotions', 'and', 'perks', '3', 'miles', 'per', 'dollar', 'spend', 'for', 'online', 'shopping', 'is', 'quite', 'a', 'good', 'deal', 'as', 'it', 'cover', 'local', 'spending', 'while', 'we', 'are', 'all', 'trap', 'in', 'our', 'home', '']","['miles', 'good', 'entry', 'level', 'miles', 'miles', 'earn', 'expire', 'hence', 'keep', 'accumulating', 'miles', 'sufficient', 'miles', 'convert', 'actual', 'promotions', 'perks', 'miles', 'dollar', 'spend', 'online', 'shopping', 'quite', 'good', 'deal', 'cover', 'local', 'spending', 'trap', 'home']","['mile', 'good', 'entry', 'level', 'mile', 'mile', 'earn', 'expire', 'hence', 'keep', 'accumulating', 'mile', 'sufficient', 'mile', 'convert', 'actual', 'promotion', 'perk', 'mile', 'dollar', 'spend', 'online', 'shopping', 'quite', 'good', 'deal', 'cover', 'local', 'spend', 'trap', 'home']",mile good entry level mile mile earn expire hence keep accumulating mile sufficient mile convert actual promotion perk mile dollar spend online shopping quite good deal cover local spend trap home
129,dbs-altitude-visa-signature-card,Air Miles, 'It has good rewards earning rate for purchasing flights which is all I use this card for. Other than that no issues, It has good rewards earning rate for purchasing flights which is all I use this card for Other than that no issues,"['', 'it', 'has', 'good', 'rewards', 'earning', 'rate', 'for', 'purchasing', 'flights', 'which', 'is', 'all', 'i', 'use', 'this', 'card', 'for', 'other', 'than', 'that', 'no', 'issues']","['good', 'rewards', 'earning', 'rate', 'purchasing', 'flights', 'issues']","['good', 'reward', 'earning', 'rate', 'purchasing', 'flight', 'issue']",good reward earning rate purchasing flight issue
130,dbs-altitude-visa-signature-card,Air Miles, 'Good entry level card.  Miles do not expire and there is no minimum spend.   Added benefit of having 2 free airport lounge access per year., Good entry level card  Miles do not expire and there is no minimum spend   Added benefit of having 2 free airport lounge access per year,"['', 'good', 'entry', 'level', 'card', 'miles', 'do', 'not', 'expire', 'and', 'there', 'is', 'no', 'minimum', 'spend', 'added', 'benefit', 'of', 'having', '2', 'free', 'airport', 'lounge', 'access', 'per', 'year']","['good', 'entry', 'level', 'miles', 'expire', 'minimum', 'spend', 'added', 'benefit', 'free', 'airport', 'lounge', 'access', 'year']","['good', 'entry', 'level', 'mile', 'expire', 'minimum', 'spend', 'added', 'benefit', 'free', 'airport', 'lounge', 'access', 'year']",good entry level mile expire minimum spend added benefit free airport lounge access year
