,credit_card_name,card_type,reviews,sentiment
121,dbs-altitude-visa-signature-card,Air Miles,"['Used to be my go-to general miles card but now have changed to a Citibank card for slightly higher mpd. Comes with 2 free visits annually to Priority Pass lounges, still a worthwhile card to hold if you can spend enough for DBS to waive the annual fee",4
122,dbs-altitude-visa-signature-card,Air Miles," 'Great ""catch all"" miles card - use other 4MPD cards for dining, online expenditure etc specific category spending to maximize the rewards on your spending. DBS points might come a little slowly, but no worries since they don\'t expire.",5
123,dbs-altitude-visa-signature-card,Air Miles," 'Love this card with no expiry date of the DBS points earned, and easy to convert the purchase to installment plan.",5
124,dbs-altitude-visa-signature-card,Air Miles," '[Others] This card is one of the best entry-level miles credit cards in Singapore with a flat air miles earn rate and benefits such as travel insurance, priority pass airport lounge access, annual fee waiver, and travel promotions. It allows me to earn points which can be converted into KrisFlyer miles.",5
125,dbs-altitude-visa-signature-card,Air Miles," 'I am an advocate of DBS. Their customer service is top notch and it is so easy to get a fee waiver by simply clicking a couple of buttons on the app, unlike other credit cards where you have to call in to appeal.",5
126,dbs-altitude-visa-signature-card,Air Miles," ""[Fee Waivers] The fee waiver experience with DBS with the app these days is really one of the best. It's so simple and easy and just a few clicks. I have been a cardholder for years and have never once not been granted a fee waiver.  [Miles Card] Honestly, prior to COVID, I did use this card a lot because I loved how the miles never expires "", ""Fast application and ease of usage. My default card for transport and parking. Look out for promotions with free gifts! Caveat you need to be a new member i.e. do not hold that bank's credit card for the past 1 year."", 'Miles don’t expire so you can take your time earning them. Miles-per-dollar ratio is good for booking flights and hotels online (or staycations, at this time). Also comes with complimentary Priority Pass membership with 2x lounge access per year.   I keep this card primarily for flight and accommodation bookings and overseas purchases due to high mpd ratio for those transactions. Due to the current situation I haven’t been using this card for my primary purchases. But it is still an excellent entry-level miles card for young profe",4
127,dbs-altitude-visa-signature-card,Air Miles," ""One of the best entry level miles cards in the market! Very versatile usage, and best of all the DBS points you earn don't expire!"", 'one of the entry level miles credit card, and best thing is to have that priority pass membership that allows you to enter lounges around the world",5
128,dbs-altitude-visa-signature-card,Air Miles," '[Miles Card] This is a good entry level miles card. The miles earn will not expire and hence, you can just keep accumulating for miles until you have sufficient miles to convert into a actual use.  [Promotions and Perks] 3 Miles per dollar spend for online shopping is quite a good deal as it cover local spending while we are all trap in our home. ",4
129,dbs-altitude-visa-signature-card,Air Miles, 'It has good rewards earning rate for purchasing flights which is all I use this card for. Other than that no issues,4
130,dbs-altitude-visa-signature-card,Air Miles, 'Good entry level card.  Miles do not expire and there is no minimum spend.   Added benefit of having 2 free airport lounge access per year.,4
131,dbs-altitude-visa-signature-card,Air Miles, '+ my backup / overseas travel card  + Priority Pass (2x a year) + combine with DBS Women card (online transactions) for miles redemption + points do NOT expire  + super easy to waive annual fees (chatbot on DBS website)   - average 1.2 miles per dollar,5
132,dbs-altitude-visa-signature-card,Air Miles," ""[Miles Card] no minimum spending needed to gain reward points and the points don't expire! Great for everyday user who don't spend much yet get to accumulate points and still entitled to 2 visits to airport lounge."", '[Fee Waivers] [Promotions and Perks] [Cashback Card] A great entry level mileage card that hybrids into a cashback card especially with the travel restrictions. Purchase offset which saves on the monthly bill. Miles don’t expire when thinking about resuming travel in the near future and can accumulate as and when.",5
133,dbs-altitude-visa-signature-card,Air Miles," ""I like that there is no minimum spending needed to gain reward points and the points don't expire! Great for everyday user who don't spend much yet get to accumulate points and still entitled to 2 visits to airport lounge."", ""[Fee Waivers] [Miles Card] Been holding this card for 7 years since I was 21. My favourite part is that the points don't expire. I didn't spend much in the past and it was helpful to accumulate points to convert to miles. Fee waivers are relatively a breeze as well!"", '[Card Hacks] This card is good for hacking frequent flyer miles. Yes cannot travel now but still can accumulate for future travels.",4
134,dbs-altitude-visa-signature-card,Air Miles," ""[Miles Card] Reward points do not expire hence we can store them until a good period to convert to miles.  Fee waiver is easy (and the annual fee is a quick way to get easy reward points/miles)  Pair this with woman's world card and you're all set."", ""Great for everyday spend and clocking miles! Best part is that miles don't expire unless you convert them."", ""This card is great for everyday spend and the fact that we get to enjoy airport lounges when we travel! There's also an option to offset CC bills with reward points as well!"", ""[Miles Card] Best thing is that miles doesn't expire! Good as a general card to slowly accumulate miles. This is my go-to card for everyday spending."", 'One of the entry miles card. Mainly for general daily usage to earn 1.2 MPD.  [Card Hacks] -One of the card that able to earn miles point for simplygo bus and mrt.",4
135,dbs-altitude-visa-signature-card,Air Miles," '[Useful For...] Those who wants to get 2 free premium lounge access per year on your travels!   [Miles Card] The miles conversion rate is quite decent as well, especially for online flight & hotel transactions (S$1 = 3 miles, capped at S$5,000 per month)",4
136,dbs-altitude-visa-signature-card,Air Miles," 'Rewards are credited as DBS points which can be converted to Miles. Good part is - the points doesn’t expire if you keep it in the account! Only convert to miles when you’re certain to use them! If you’re not into miles, DBS points can get you many other perks too.",4
137,dbs-altitude-visa-signature-card,Air Miles, 'Received priority pass valid for 5 years. 2 free entries to priority airport lounge per year worth $76.,1
138,dbs-altitude-visa-signature-card,Air Miles, '8th anniversary using this card and going strong.   Yes many new or revamped miles card out there. But how many have changes their terms. Believe in 2019 we have seen quite a fair share of that.  Their app interface is really leading. Yes 1.2mdp for local spend is Low (for a miles Collector) but it’s market rate.  If you prefer a steady card and you can accumulate your miles ,4
139,dbs-altitude-visa-signature-card,Air Miles," ""Good card to chalk up points for air miles.  Still don't understand why customers have to call for waiver of annual fees but guess that's the market practise.   Overall useful because of its VISA affiliation which is widely accepted and for traveling."", 'First credit card I got as I needed one to quality for the multiplier account higher interest rate. Turned out to be a great choice. Application process was seamless. Customer service was great. Fee waiver done very easily by just sending a text message. They have an app for you to track your expenditure and rewards which is Super great. Miles don’t expire as well. Great card!!",4
140,dbs-altitude-visa-signature-card,Air Miles," ""[Updated to add information about Fee Waiver]  This was the first credit card in my wallet (before I understood the value of having a multi-card strategy for earning miles), and it's been a reliable companion so far, with some unexpected perks!   [Application and Approval] "", '[Fee Waivers] Can be done online, very easy to request. The same thing goes to card cancellation.  Very fast approval, almost instantly.  [Miles Card] Very good miles card. The points earn can be offset the bill. 3 miles per dollar, a generous card to save air ticket.",4
141,dbs-altitude-visa-signature-card,Air Miles," ""I would recommend this card to fresh grads! Reason being it's simple to use and no complicated spending patterns needed to maintain your rewards. There are definitely other miles cards out there that would earn you more miles faster but the DBS points (which you use to convert to miles) do not expire and there is not minimum spend. So you won't be pressured to spend more just to hit minimum spend or minimum no. of points for conversion to miles. For that same reason you don't have to time your spending too.   "", ""[Miles Card] It's a good card to gather miles and I use it as my main card. Can recommend it. Sometimes, the app is not accessible, but generally works well."", 'I would recommend this as the 1st credit card to get when you graduate from University. It’s a great card for travelling, with bonus miles to earn from booking flights and accommodations. It’s also usually one of the eligible cards when using it with 3rd party payment services like CardUp and Ipaymy. It also works with SimplyGo that lets you earn miles while commuting on public transport. Note that a similar card like the OCBC 90N doesn’t earn you miles when used with SimplyGo based on the recent OCBC revision. That gives the DBS Altitude a slight edge over cards similar to it.",4
142,dbs-altitude-visa-signature-card,Air Miles," ""Very similar in benefits to citi's premiermiles card, right down to the miles conversion rate and annual priority pass. Gives 5000 points (equivalent to 10000 miles) if annual fee is paid and it doesn't expire. Great feature to accumulate miles for cheap alongside premiermiles.  Edit May 2020: haven't been using this and I realised they didn't bill me for annual fees, which would have added to my miles tally. Been spending more on my Premier miles card which is my current daily driver after I got rid of BOC elite miles for not waiving annual fees."", 'It’s very decent - miles don’t expire, you can easily get an annual fee waiver.  But I’d prefer Citi Premier miles only because of the wider range of airline partners.",4
143,dbs-altitude-visa-signature-card,Air Miles," ""Have been using this card for about 1.5 years now. Here's my review of it:  Ease of application: Application is extremely easy. Just go to the website (you can Google DBS altitude and the result will come up), and press apply! If you're Singaporean, you can just apply using Singpass. Application took me less than 5 minutes, and I received the card in less than 2 weeks!  "", ""[Miles Card] An average miles card that I will only use if there's a running promotion above 1.2 miles.   [Others] They only have Singapore airlines, Air Asia and Cathay as their redeeming partners. With the earning rates at 1.2 miles I would rather accumulate under another card with 12 redeeming partners."", '[Promotions and Perks]  [Miles Card]  [Fee Waivers]  If you are looking for miles credit card with free entry to premium lounges (2 times a year) the",3
144,dbs-altitude-visa-signature-card,Air Miles," ""Really easy to apply online using myInfo with SingPass. The best part of this is that the miles do not expire, good for low spenders who are also into the miles game. The mpd from this card is not that good though, pros and cons of giving you the no expiry benefit. Other benefits are such as the reward of 10,000 miles from paying the SGD192.60 annual fees, which is quite worth it to me considering the mpd gotten from it.  For the sake of comparison, Citi PremierMiles also has the same mpd and the miles doesn't ex"", 'Very easy to apply and the card was received promptly. There are better cards for miles in the market. ",4
