,ques_1,ques_2,ques_3,ques_4,ques_5,ques_6,ques_7,ques_8,ques_9,ques_10,ques_11,card,return
0,Cashback,Yes,49000,public_transport,100,899,cold_storage,999,0,899,cashback,uob_one,140.30329999999998
1,Cashback,No,79000,esso,799,100,sheng_shiong,899,599,100,cashback,uob_one,106.9533
2,Cashback,No,49000,caltex,799,0,giant,899,999,899,cashback,uob_one,167.0
3,Cashback,No,79000,spc,999,999,giant,799,100,0,cashback,uob_one,126.9633
4,Cashback,No,79000,caltex,899,999,sheng_shiong,799,799,999,cashback,uob_one,120.29329999999999
5,Cashback,No,89000,shell,799,0,cold_storage,899,0,399,cashback,uob_one,140.3066
6,Cashback,No,29000,public_transport,100,599,redmart,0,899,599,cashback,not_eligible,0.0
7,Cashback,No,69000,shell,799,799,cold_storage,999,999,999,cashback,uob_one,167.0
8,Cashback,Yes,59000,esso,599,399,sheng_shiong,799,0,399,cashback,posb_everyday_cashback,80.0
9,Cashback,No,49000,spc,899,899,cold_storage,599,799,399,cashback,uob_one,160.2466
10,Cashback,Yes,79000,caltex,599,799,sheng_shiong,899,799,899,cashback,uob_one,120.29329999999999
11,Cashback,Yes,39000,public_transport,100,999,cold_storage,0,100,399,cashback,posb_everyday_cashback,55.22
12,Cashback,No,69000,shell,799,899,sheng_shiong,999,899,999,cashback,uob_one,140.3066
13,Cashback,No,69000,caltex,899,999,ntuc,599,100,399,cashback,uob_one,73.67
14,Cashback,Yes,79000,spc,599,999,ntuc,799,599,0,cashback,uob_one,106.9533
15,Cashback,Yes,29000,esso,899,899,sheng_shiong,0,599,100,cashback,not_eligible,0.0
16,Cashback,Yes,89000,caltex,399,0,cold_storage,999,599,999,cashback,uob_one,167.0
17,Cashback,No,79000,shell,899,799,cold_storage,399,0,100,cashback,uob_one,108.6266
18,Cashback,Yes,39000,esso,599,399,sheng_shiong,799,100,799,cashback,posb_everyday_cashback,80.0
19,Cashback,No,59000,public_transport,399,799,ntuc,999,899,999,cashback,uob_one,153.57659999999998
20,Cashback,Yes,79000,public_transport,0,100,redmart,399,999,599,cashback,uob_one,133.6333
21,Cashback,Yes,89000,public_transport,100,0,sheng_shiong,0,999,0,cashback,uob_one,87.95
22,Cashback,No,49000,caltex,599,799,giant,899,999,899,cashback,uob_one,167.0
23,Cashback,No,49000,shell,999,0,cold_storage,599,999,799,cashback,uob_one,167.0
24,Cashback,No,59000,spc,799,0,sheng_shiong,599,599,100,cashback,uob_one,106.9533
25,Cashback,No,79000,esso,399,799,redmart,0,399,799,cashback,uob_one,93.6133
26,Cashback,Yes,89000,shell,399,999,ntuc,599,799,0,cashback,uob_one,126.9566
27,Cashback,No,79000,spc,899,899,redmart,100,999,399,cashback,uob_one,133.6333
28,Cashback,Yes,79000,caltex,799,0,redmart,100,399,599,cashback,uob_one,52.95
