,ques_1,ques_2,ques_3,ques_4,ques_5,ques_6,ques_7,ques_8,ques_9,ques_10,ques_11,card,return
0,Miles,No,79000,caltex,999,899,sheng_shiong,599,999,0,turkish_miles_and_smiles,citi_rewards_miles,559.36
1,Miles,Yes,69000,shell,599,0,ntuc,0,999,999,krisflyer,uob_prvi_miles,7271.599999999999
2,Miles,No,69000,public_transport,399,100,ntuc,100,899,399,big_loyalty,dbs_altitude_visa,6829.199999999999
3,Miles,No,89000,public_transport,100,799,cold_storage,599,999,100,etihad_guest,citi_rewards_miles,559.5200000000001
4,Miles,Yes,39000,caltex,399,100,giant,399,399,899,big_loyalty,dbs_altitude_visa,7905.599999999999
5,Miles,Yes,59000,caltex,799,999,ntuc,399,999,0,big_loyalty,dbs_altitude_visa,11505.599999999999
6,Miles,No,69000,caltex,399,899,cold_storage,799,0,100,big_loyalty,dbs_altitude_visa,7909.199999999999
7,Miles,No,59000,caltex,999,100,sheng_shiong,399,399,399,british_airways_executive_club,citi_rewards_miles,941.9200000000001
8,Miles,No,49000,shell,999,100,redmart,599,599,0,etihad_guest,citi_rewards_miles,1230.08
9,Miles,Yes,59000,public_transport,100,0,sheng_shiong,0,100,399,asia_miles,uob_prvi_miles,1677.1999999999998
10,Miles,No,89000,caltex,999,399,redmart,0,100,899,turkish_miles_and_smiles,citi_rewards_miles,1678.08
11,Miles,No,89000,shell,799,0,redmart,100,599,999,british_airways_executive_club,citi_rewards_miles,1982.08
12,Miles,No,59000,spc,999,399,redmart,399,999,0,asia_miles,uob_prvi_miles,7828.799999999999
13,Miles,Yes,89000,spc,899,799,sheng_shiong,899,399,0,british_airways_executive_club,citi_rewards_miles,479.36000000000007
14,Miles,Yes,49000,caltex,999,599,sheng_shiong,399,899,399,british_airways_executive_club,citi_rewards_miles,1101.76
15,Miles,No,89000,public_transport,399,999,sheng_shiong,999,899,399,krisflyer,uob_prvi_miles,10346.0
16,Miles,No,69000,public_transport,399,0,redmart,100,100,599,big_loyalty,dbs_altitude_visa,4312.799999999999
17,Miles,Yes,49000,shell,799,999,sheng_shiong,0,999,599,british_airways_executive_club,citi_rewards_miles,1405.92
18,Miles,Yes,59000,public_transport,100,0,cold_storage,399,899,799,etihad_guest,citi_rewards_miles,1502.08
19,Miles,No,59000,esso,799,799,redmart,999,599,899,turkish_miles_and_smiles,citi_rewards_miles,3388.3199999999997
20,Miles,No,69000,spc,399,899,redmart,999,399,899,etihad_guest,citi_rewards_miles,3308.3199999999997
21,Miles,Yes,79000,public_transport,399,100,giant,399,999,799,krisflyer,uob_prvi_miles,7548.799999999999
22,Miles,Yes,69000,caltex,899,599,giant,999,799,899,etihad_guest,citi_rewards_miles,1965.76
23,Miles,No,49000,spc,399,999,sheng_shiong,0,999,100,british_airways_executive_club,citi_rewards_miles,543.5200000000001
24,Miles,No,89000,public_transport,100,0,ntuc,100,100,0,krisflyer,uob_prvi_miles,840.0
25,Miles,Yes,79000,spc,899,599,giant,999,799,999,asia_miles,uob_prvi_miles,12026.0
26,Miles,No,59000,caltex,399,100,giant,399,599,100,british_airways_executive_club,citi_rewards_miles,399.52000000000004
27,Miles,No,49000,esso,599,599,sheng_shiong,799,799,999,frequent_flyer,dbs_altitude_visa,9108.0
28,Miles,No,69000,public_transport,0,999,ntuc,899,999,899,krisflyer,uob_prvi_miles,10628.8
29,Miles,Yes,89000,shell,399,100,ntuc,599,399,599,asia_miles,dbs_womans_world_miles,5989.6
30,Miles,No,79000,shell,999,599,ntuc,100,100,100,krisflyer,uob_prvi_miles,5314.4
31,Miles,No,49000,spc,999,899,cold_storage,899,799,899,etihad_guest,citi_rewards_miles,2013.76
32,Miles,Yes,89000,public_transport,100,100,redmart,999,0,399,asia_miles,dbs_womans_world_miles,11344.0
33,Miles,Yes,79000,caltex,599,899,giant,999,0,599,british_airways_executive_club,citi_rewards_miles,1357.92
34,Miles,Yes,39000,public_transport,0,999,giant,399,100,899,frequent_flyer,dbs_altitude_visa,5752.799999999999
35,Miles,Yes,59000,spc,799,0,sheng_shiong,100,399,999,big_loyalty,dbs_altitude_visa,8269.199999999999
36,Miles,Yes,79000,public_transport,0,599,redmart,599,999,100,british_airways_executive_club,citi_rewards_miles,1374.08
37,Miles,No,49000,public_transport,0,799,ntuc,399,799,599,etihad_guest,citi_rewards_miles,1277.92
38,Miles,No,69000,shell,599,0,redmart,999,100,599,turkish_miles_and_smiles,citi_rewards_miles,2668.6400000000003
39,Miles,Yes,49000,spc,599,0,giant,100,799,899,british_airways_executive_club,citi_rewards_miles,1678.08
40,Miles,No,89000,public_transport,100,0,ntuc,999,399,399,british_airways_executive_club,citi_rewards_miles,878.0799999999999
41,Miles,Yes,89000,public_transport,399,599,redmart,799,0,0,big_loyalty,dbs_womans_world_miles,10785.599999999999
42,Miles,No,59000,caltex,999,399,redmart,799,599,399,turkish_miles_and_smiles,citi_rewards_miles,2236.3199999999997
43,Miles,No,59000,caltex,399,399,sheng_shiong,899,899,100,etihad_guest,citi_rewards_miles,575.36
44,Miles,No,79000,shell,599,0,ntuc,799,999,399,turkish_miles_and_smiles,citi_rewards_miles,1021.9200000000001
45,Miles,Yes,39000,esso,599,599,redmart,0,399,0,british_airways_executive_club,citi_rewards_miles,255.52000000000004
46,Miles,No,79000,shell,999,899,sheng_shiong,599,100,100,british_airways_executive_club,citi_rewards_miles,575.5200000000001
47,Miles,Yes,39000,caltex,999,799,sheng_shiong,899,100,0,asia_miles,uob_prvi_miles,7831.599999999999
