,ques_1,ques_2,ques_3,ques_4,ques_5,ques_6,ques_7,ques_8,ques_9,ques_10,ques_11,card,return
0,Miles,Yes,39000,public_transport,399,399,giant,599,899,799,turkish_miles_and_smiles,citi_rewards_miles,1645.76
1,Miles,No,79000,public_transport,100,100,cold_storage,999,799,999,krisflyer,uob_prvi_miles,8391.599999999999
2,Miles,Yes,29000,public_transport,100,899,redmart,799,599,599,big_loyalty,not_eligible,0.0
3,Miles,Yes,69000,public_transport,100,599,ntuc,599,399,100,etihad_guest,citi_rewards_miles,431.5200000000001
4,Miles,Yes,69000,public_transport,100,100,cold_storage,999,899,399,big_loyalty,dbs_altitude_visa,8989.199999999999
5,Miles,No,29000,public_transport,399,100,cold_storage,599,599,399,big_loyalty,not_eligible,0.0
6,Miles,No,69000,public_transport,100,799,giant,999,399,100,frequent_flyer,dbs_altitude_visa,5752.799999999999
7,Miles,No,79000,public_transport,399,599,ntuc,799,100,100,asia_miles,uob_prvi_miles,5591.599999999999
8,Miles,Yes,79000,public_transport,399,599,giant,100,599,899,etihad_guest,citi_rewards_miles,1709.92
9,Miles,No,49000,public_transport,399,999,giant,399,599,999,british_airways_executive_club,citi_rewards_miles,1981.76
10,Miles,Yes,59000,public_transport,100,599,redmart,899,399,599,big_loyalty,dbs_altitude_visa,9345.599999999999
11,Miles,No,69000,public_transport,100,799,ntuc,799,899,599,asia_miles,uob_prvi_miles,8948.8
12,Miles,No,49000,public_transport,399,599,ntuc,100,599,599,big_loyalty,dbs_altitude_visa,8265.599999999999
13,Miles,No,59000,public_transport,100,899,giant,899,999,799,frequent_flyer,dbs_altitude_visa,8870.4
14,Miles,Yes,49000,public_transport,399,100,cold_storage,599,399,899,turkish_miles_and_smiles,citi_rewards_miles,1677.92
15,Miles,No,89000,public_transport,399,899,giant,599,399,899,krisflyer,dbs_womans_world_miles,9028.8
16,Miles,Yes,49000,public_transport,100,599,cold_storage,899,599,100,etihad_guest,citi_rewards_miles,511.5200000000001
17,Miles,Yes,29000,public_transport,100,999,cold_storage,899,799,599,british_airways_executive_club,not_eligible,0.0
18,Miles,No,39000,public_transport,399,899,giant,899,999,899,krisflyer,not_eligible,0.0
19,Miles,No,89000,public_transport,399,999,giant,899,599,399,big_loyalty,dbs_altitude_visa,11862.0
20,Miles,No,69000,public_transport,100,100,cold_storage,100,899,899,asia_miles,uob_prvi_miles,5874.4
21,Miles,No,29000,public_transport,100,799,cold_storage,999,599,399,frequent_flyer,not_eligible,0.0
22,Miles,No,39000,public_transport,100,100,giant,999,899,799,etihad_guest,not_eligible,0.0
23,Miles,Yes,49000,public_transport,399,899,redmart,999,799,599,turkish_miles_and_smiles,citi_rewards_miles,2892.32
24,Miles,No,39000,public_transport,399,100,redmart,999,100,399,asia_miles,not_eligible,0.0
25,Miles,Yes,69000,public_transport,100,799,sheng_shiong,100,899,799,british_airways_executive_club,citi_rewards_miles,1582.08
26,Miles,Yes,49000,public_transport,399,100,cold_storage,100,799,100,asia_miles,uob_prvi_miles,4194.4
27,Miles,Yes,39000,public_transport,399,899,cold_storage,799,399,799,krisflyer,uob_prvi_miles,9226.0
28,Miles,No,29000,public_transport,100,399,cold_storage,399,399,399,big_loyalty,not_eligible,0.0
29,Miles,No,79000,public_transport,399,899,sheng_shiong,999,899,799,big_loyalty,dbs_altitude_visa,14382.0
30,Miles,No,49000,public_transport,100,100,giant,799,799,399,etihad_guest,citi_rewards_miles,926.0799999999999
31,Miles,Yes,89000,public_transport,100,100,ntuc,999,999,399,krisflyer,uob_prvi_miles,7271.599999999999
32,Miles,No,69000,public_transport,100,899,sheng_shiong,999,599,899,krisflyer,uob_prvi_miles,9788.8
33,Miles,No,89000,public_transport,100,599,redmart,399,100,899,big_loyalty,dbs_womans_world_miles,16534.800000000003
34,Miles,No,39000,public_transport,399,100,redmart,100,999,799,turkish_miles_and_smiles,not_eligible,0.0
35,Miles,No,59000,spc,399,399,giant,799,100,599,british_airways_executive_club,citi_rewards_miles,1229.92
36,Miles,Yes,29000,spc,899,799,giant,399,599,599,asia_miles,not_eligible,0.0
37,Miles,No,79000,caltex,899,399,cold_storage,599,599,399,asia_miles,uob_prvi_miles,8105.999999999999
38,Miles,Yes,79000,shell,799,599,cold_storage,899,399,100,frequent_flyer,dbs_altitude_visa,6710.4
39,Miles,Yes,49000,shell,899,999,redmart,100,799,999,british_airways_executive_club,citi_rewards_miles,2189.92
40,Miles,No,69000,esso,799,599,sheng_shiong,399,399,100,etihad_guest,citi_rewards_miles,511.36000000000007
41,Miles,Yes,89000,esso,999,899,cold_storage,799,599,100,british_airways_executive_club,citi_rewards_miles,687.3600000000001
42,Miles,Yes,39000,shell,399,999,cold_storage,799,100,100,big_loyalty,dbs_altitude_visa,8629.199999999999
43,Miles,Yes,39000,caltex,899,899,cold_storage,100,399,799,turkish_miles_and_smiles,citi_rewards_miles,1645.92
44,Miles,Yes,59000,shell,899,999,giant,599,599,399,frequent_flyer,dbs_altitude_visa,8388.0
45,Miles,Yes,89000,shell,599,399,sheng_shiong,999,999,999,turkish_miles_and_smiles,citi_rewards_miles,2077.7599999999998
46,Miles,No,59000,spc,599,899,redmart,899,999,100,asia_miles,uob_prvi_miles,9788.8
47,Miles,Yes,79000,shell,599,399,ntuc,399,599,799,frequent_flyer,dbs_altitude_visa,6708.0
48,Miles,Yes,29000,spc,399,999,redmart,399,399,399,turkish_miles_and_smiles,not_eligible,0.0
49,Miles,Yes,89000,spc,899,799,giant,100,599,599,british_airways_executive_club,citi_rewards_miles,1341.92
