,id,pid,ms_subclass,ms_zoning,lot_frontage,lot_area,street,alley,lot_shape,land_contour,utilities,lot_config,land_slope,neighborhood,condition_1,condition_2,bldg_type,house_style,overall_qual,overall_cond,year_built,year_remod/add,roof_style,roof_matl,exterior_1st,exterior_2nd,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmtfin_type_2,bsmtfin_sf_2,bsmt_unf_sf,total_bsmt_sf,heating,heating_qc,central_air,electrical,1st_flr_sf,2nd_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_type,garage_yr_blt,garage_finish,garage_cars,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,pool_area,pool_qc,fence,misc_feature,misc_val,mo_sold,yr_sold,sale_type,log_saleprice,saleprice
0,2658,902301120,190,RM,69.0,9142,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,2fmCon,2Story,6,8,1910,1950,Gable,CompShg,AsbShng,AsbShng,None,0.0,TA,Fa,Stone,2,TA,1,Unf,0,Unf,0,1020,1020,GasA,4,N,FuseP,908,1020,0,1928,0,0,2,0,4,2,2,9,8,0,,Detchd,1910.0,Unf,1,440,Po,Po,3,0,60,112,0,0,0,,,,0,4,2006,WD ,17.097676787079003,140253.0
1,2718,905108090,90,RL,,9662,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,5,4,1977,1977,Gable,CompShg,Plywood,Plywood,None,0.0,TA,TA,CBlock,4,TA,1,Unf,0,Unf,0,1967,1967,GasA,3,Y,SBrkr,1967,0,0,1967,0,0,2,0,6,2,3,10,8,0,,Attchd,1977.0,Fin,2,580,TA,TA,3,170,0,0,0,0,0,,,,0,8,2006,WD ,17.326153579261984,164321.0
2,2414,528218130,60,RL,58.0,17104,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,4,Gd,3,GLQ,554,Unf,0,100,654,GasA,5,Y,SBrkr,664,832,0,1496,1,0,2,1,3,1,4,7,8,1,Gd,Attchd,2006.0,RFn,2,426,TA,TA,3,100,24,0,0,0,0,,,,0,9,2006,New,17.74999979109612,220436.0
3,1989,902207150,30,RM,60.0,8520,Pave,,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,5,6,1923,2006,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,Gd,TA,CBlock,3,TA,1,Unf,0,Unf,0,968,968,GasA,3,Y,SBrkr,968,0,0,968,0,0,1,0,2,1,3,5,8,0,,Detchd,1935.0,Unf,2,480,Fa,TA,1,0,0,184,0,0,0,,,,0,7,2007,WD ,16.592818042362325,98841.0
4,625,535105100,20,RL,,9500,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1963,1963,Gable,CompShg,Plywood,Plywood,BrkFace,247.0,TA,TA,CBlock,4,TA,1,BLQ,609,Unf,0,785,1394,GasA,4,Y,SBrkr,1394,0,0,1394,1,0,1,1,3,1,3,6,8,2,Gd,Attchd,1963.0,RFn,2,514,TA,TA,3,0,76,0,0,185,0,,,,0,7,2009,WD ,17.41743207811184,175053.0
5,333,923228370,160,RM,21.0,1890,Pave,,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,2Story,4,6,1972,1972,Gable,CompShg,CemntBd,CmentBd,None,0.0,TA,TA,CBlock,3,TA,1,Rec,294,Unf,0,252,546,GasA,3,Y,SBrkr,546,546,0,1092,0,0,1,1,3,1,3,5,8,0,,Attchd,1972.0,Unf,1,286,TA,TA,3,0,0,64,0,0,0,,,,0,6,2010,WD ,16.527265725729134,94450.0
6,1327,902427150,20,RM,52.0,8516,Pave,,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,4,6,1958,2006,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,3,TA,1,Unf,0,Unf,0,869,869,GasA,3,Y,SBrkr,1093,0,0,1093,0,0,1,0,2,1,3,5,8,0,,Detchd,1959.0,Unf,1,308,TA,TA,3,0,0,0,0,0,0,,,,0,5,2008,WD ,16.633515950639,101669.0
7,858,907202130,20,RL,,9286,Pave,,IR1,Lvl,AllPub,CulDSac,Mod,CollgCr,Norm,Norm,1Fam,1Story,5,7,1977,1989,Gable,CompShg,HdBoard,Plywood,None,0.0,TA,TA,CBlock,4,Gd,3,ALQ,196,Unf,0,1072,1268,GasA,3,Y,SBrkr,1268,0,0,1268,0,0,1,1,3,1,4,5,8,0,,Detchd,1978.0,Unf,1,252,TA,TA,3,173,0,0,0,0,0,,,,0,10,2009,WD ,17.216998722755907,152347.0
8,95,533208090,160,FV,39.0,3515,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,4,TA,1,Unf,0,Unf,0,840,840,GasA,5,Y,SBrkr,840,840,0,1680,0,0,2,1,2,1,4,3,8,0,,Attchd,2004.0,RFn,2,588,TA,TA,3,0,111,0,0,0,0,,,,0,1,2010,WD ,17.473905753089078,182041.0
9,1568,914476010,20,RL,75.0,10125,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,6,6,1977,1977,Gable,CompShg,Plywood,Plywood,None,0.0,TA,TA,CBlock,3,TA,1,ALQ,641,LwQ,279,276,1196,GasA,3,Y,SBrkr,1279,0,0,1279,0,1,2,0,3,1,3,6,8,2,Fa,Detchd,1980.0,Unf,2,473,TA,TA,3,238,83,0,0,0,0,,MnPrv,,0,2,2008,WD ,17.279080727669292,159046.0
